rank,title,artist,album,genre,streams,source,fetched_at,score,key
36,Mr. Brightside,The Killers,,,2108614,spotify_global,2026-07-03,30.0,mr. brightside — the killers
37,Lush Life,Zara Larsson,,,2102817,spotify_global,2026-07-03,28.000000000000004,lush life — zara larsson
38,Sweater Weather,The Neighbourhood,,,2086241,spotify_global,2026-07-03,26.0,sweater weather — the neighbourhood
39,Cinderella (w/ Ty Dolla $ign ),Mac Miller,,,2084462,spotify_global,2026-07-03,24.0,cinderella (w/ ty dolla $ign ) — mac miller
40,BIRDS OF A FEATHER,Billie Eilish,,,2075354,spotify_global,2026-07-03,22.0,birds of a feather — billie eilish
41,BAILE INoLVIDABLE,Bad Bunny,,,2058278,spotify_global,2026-07-03,20.0,baile inolvidable — bad bunny
42,NUEVAYoL,Bad Bunny,,,2054120,spotify_global,2026-07-03,18.0,nuevayol — bad bunny
43,Locked out of Heaven,Bruno Mars,,,1999520,spotify_global,2026-07-03,16.0,locked out of heaven — bruno mars
44,Riptide,Vance Joy,,,1981154,spotify_global,2026-07-03,14.000000000000002,riptide — vance joy
45,Treat You Better,Shawn Mendes,,,1978298,spotify_global,2026-07-03,12.0,treat you better — shawn mendes
46,WHERE IS MY HUSBAND!,RAYE,,,1967325,spotify_global,2026-07-03,10.0,where is my husband! — raye
47,maggots for brains,Olivia Rodrigo,,,1961269,spotify_global,2026-07-03,8.0,maggots for brains — olivia rodrigo
48,Every Breath You Take,The Police,,,1934771,spotify_global,2026-07-03,6.0,every breath you take — the police
49,expectations,Olivia Rodrigo,,,1924802,spotify_global,2026-07-03,4.0,expectations — olivia rodrigo
50,"One Dance (w/ Wizkid , Kyla )",Drake,,,1914976,spotify_global,2026-07-03,2.0,"one dance (w/ wizkid , kyla ) — drake"
1,Choosin' Texas,Ella Langley,,,1547897,spotify_us,2026-07-03,100.0,choosin' texas — ella langley
2,stupid song,Olivia Rodrigo,,,1415131,spotify_us,2026-07-03,98.0,stupid song — olivia rodrigo
3,Earrings,Malcolm Todd,,,1203785,spotify_us,2026-07-03,96.0,earrings — malcolm todd
4,hate that i made you love me,Ariana Grande,,,1026595,spotify_us,2026-07-03,94.0,hate that i made you love me — ariana grande
5,the cure,Olivia Rodrigo,,,998295,spotify_us,2026-07-03,92.0,the cure — olivia rodrigo
6,honeybee,Olivia Rodrigo,,,941344,spotify_us,2026-07-03,90.0,honeybee — olivia rodrigo
7,Janice STFU,Drake,,,925095,spotify_us,2026-07-03,88.0,janice stfu — drake
8,drop dead,Olivia Rodrigo,,,920664,spotify_us,2026-07-03,86.0,drop dead — olivia rodrigo
9,Cinderella (w/ Ty Dolla $ign ),Mac Miller,,,894259,spotify_us,2026-07-03,84.0,cinderella (w/ ty dolla $ign ) — mac miller
10,Babydoll,Dominic Fike,,,839966,spotify_us,2026-07-03,82.0,babydoll — dominic fike
11,weren't for the wind,Ella Langley,,,814298,spotify_us,2026-07-03,80.0,weren't for the wind — ella langley
12,Billie Jean,Michael Jackson,,,810800,spotify_us,2026-07-03,78.0,billie jean — michael jackson
13,Be Her,Ella Langley,,,800247,spotify_us,2026-07-03,76.0,be her — ella langley
14,Mr. Brightside,The Killers,,,794687,spotify_us,2026-07-03,74.0,mr. brightside — the killers
15,"I Knew It, I Knew You",Taylor Swift,,,789372,spotify_us,2026-07-03,72.0,"i knew it, i knew you — taylor swift"
16,expectations,Olivia Rodrigo,,,760259,spotify_us,2026-07-03,70.0,expectations — olivia rodrigo
17,Chicago,Michael Jackson,,,751926,spotify_us,2026-07-03,68.0,chicago — michael jackson
18,maggots for brains,Olivia Rodrigo,,,742206,spotify_us,2026-07-03,66.0,maggots for brains — olivia rodrigo
19,Man I Need,Olivia Dean,,,717614,spotify_us,2026-07-03,64.0,man i need — olivia dean
20,Boston,STELLA LEFTY,,,680726,spotify_us,2026-07-03,62.0,boston — stella lefty
21,my way,Olivia Rodrigo,,,680451,spotify_us,2026-07-03,60.0,my way — olivia rodrigo
22,whatâs wrong with me (w/ Robert Smith ),Olivia Rodrigo,,,678437,spotify_us,2026-07-03,57.99999999999999,whatâs wrong with me (w/ robert smith ) — olivia rodrigo
23,Broken Window Serenade,Whiskey Myers,,,665273,spotify_us,2026-07-03,56.00000000000001,broken window serenade — whiskey myers
24,I Got Better,Morgan Wallen,,,659875,spotify_us,2026-07-03,54.0,i got better — morgan wallen
25,u + me = <3,Olivia Rodrigo,,,631423,spotify_us,2026-07-03,52.0,u + me = <3 — olivia rodrigo
26,E85,Don Toliver,,,609344,spotify_us,2026-07-03,50.0,e85 — don toliver
